[2022-12-11 16:56:15] [INFO   ] cannot read configuration file config.properties trying from resources.
[2022-12-11 16:56:15] [INFO   ] configuration file was loaded from resources directory.
[2022-12-11 16:56:15] [SEVERE ] player 3 placing token on slot 10
[2022-12-11 16:56:15] [SEVERE ] player 2 placing token on slot 10
[2022-12-11 16:56:15] [SEVERE ] placing card 64 in slot 11
[2022-12-11 16:56:15] [SEVERE ] player 3 placing token on slot 3
[2022-12-11 16:56:15] [SEVERE ] player 2 placing token on slot 0
[2022-12-11 16:56:15] [SEVERE ] removing player 3 token from slot 10
[2022-12-11 16:56:15] [SEVERE ] player 2 placing token on slot 4
[2022-12-11 16:56:15] [SEVERE ] placing card 1 in slot 9
[2022-12-11 16:56:16] [SEVERE ] removing player 2 token from slot 10
[2022-12-11 16:56:16] [SEVERE ] player 3 placing token on slot 6
[2022-12-11 16:56:16] [SEVERE ] player 2 placing token on slot 1
[2022-12-11 16:56:16] [SEVERE ] player 3 placing token on slot 8
[2022-12-11 16:56:16] [SEVERE ] placing card 6 in slot 6
[2022-12-11 16:56:16] [SEVERE ] removing player 3 token from slot 8
[2022-12-11 16:56:16] [SEVERE ] removing player 2 token from slot 4
[2022-12-11 16:56:16] [SEVERE ] player 2 placing token on slot 6
[2022-12-11 16:56:16] [SEVERE ] removing player 3 token from slot 3
[2022-12-11 16:56:16] [SEVERE ] placing card 0 in slot 1
[2022-12-11 16:56:16] [SEVERE ] removing player 2 token from slot 0
[2022-12-11 16:56:16] [SEVERE ] player 3 placing token on slot 2
[2022-12-11 16:56:16] [SEVERE ] player 3 placing token on slot 5
[2022-12-11 16:56:16] [SEVERE ] player 2 placing token on slot 7
[2022-12-11 16:56:16] [SEVERE ] placing card 53 in slot 10
[2022-12-11 16:56:16] [SEVERE ] removing player 2 token from slot 7
[2022-12-11 16:56:16] [SEVERE ] removing player 3 token from slot 2
[2022-12-11 16:56:16] [SEVERE ] player 2 placing token on slot 9
[2022-12-11 16:56:16] [SEVERE ] player 3 placing token on slot 2
[2022-12-11 16:56:16] [SEVERE ] placing card 35 in slot 3
[2022-12-11 16:56:16] [SEVERE ] removing player 2 token from slot 1
[2022-12-11 16:56:16] [SEVERE ] removing player 3 token from slot 5
[2022-12-11 16:56:17] [SEVERE ] player 3 placing token on slot 9
[2022-12-11 16:56:17] [SEVERE ] player 2 placing token on slot 5
[2022-12-11 16:56:17] [SEVERE ] placing card 77 in slot 8
[2022-12-11 16:56:17] [SEVERE ] removing player 3 token from slot 6
[2022-12-11 16:56:17] [SEVERE ] removing player 2 token from slot 6
[2022-12-11 16:56:17] [SEVERE ] player 3 placing token on slot 1
[2022-12-11 16:56:17] [SEVERE ] removing player 2 token from slot 9
[2022-12-11 16:56:17] [SEVERE ] placing card 9 in slot 7
[2022-12-11 16:56:17] [SEVERE ] removing player 3 token from slot 2
[2022-12-11 16:56:17] [SEVERE ] player 2 placing token on slot 2
[2022-12-11 16:56:17] [SEVERE ] player 3 placing token on slot 2
[2022-12-11 16:56:17] [SEVERE ] player 2 placing token on slot 1
[2022-12-11 16:56:17] [SEVERE ] placing card 16 in slot 4
[2022-12-11 16:56:17] [SEVERE ] removing player 3 token from slot 1
[2022-12-11 16:56:17] [SEVERE ] removing player 2 token from slot 1
[2022-12-11 16:56:17] [SEVERE ] player 3 placing token on slot 0
[2022-12-11 16:56:17] [SEVERE ] player 2 placing token on slot 4
[2022-12-11 16:56:17] [SEVERE ] placing card 47 in slot 5
[2022-12-11 16:56:17] [SEVERE ] removing player 2 token from slot 2
[2022-12-11 16:56:17] [SEVERE ] removing player 3 token from slot 0
[2022-12-11 16:56:17] [SEVERE ] player 3 placing token on slot 11
[2022-12-11 16:56:17] [SEVERE ] player 2 placing token on slot 1
[2022-12-11 16:56:17] [SEVERE ] placing card 67 in slot 2
[2022-12-11 16:56:18] [SEVERE ] removing player 2 token from slot 4
[2022-12-11 16:56:18] [SEVERE ] removing player 3 token from slot 9
[2022-12-11 16:56:18] [SEVERE ] player 3 placing token on slot 1
[2022-12-11 16:56:18] [SEVERE ] removing player 2 token from slot 1
[2022-12-11 16:56:18] [SEVERE ] placing card 55 in slot 0
[2022-12-11 16:56:18] [SEVERE ] player 2 placing token on slot 2
[2022-12-11 16:56:18] [SEVERE ] removing player 3 token from slot 1
[2022-12-11 16:56:18] [SEVERE ] player 3 placing token on slot 8
[2022-12-11 16:56:18] [SEVERE ] player 2 placing token on slot 8
